slug,relevant_government
800-mw-ccgt-power-plant-in-arrubal,"Gobierno de La Rioja 
Ayuntamiento de Arrúbal."
toxic-spill-from-mining-company-belonging-to-grupo-mexico-sonora-mexico,"SEMARNAP, , Secretaría de Medio Ambiente y Recursos Naturales PROFEPA, Procuraduría Federal de Protección al Ambiente
CONAGUA"
gasdotto-rete-adriatica-brindisi-minerbio-e-centrale-di-compressione-di-sulmona,"Gobiernos Nacionales (Berlusconi, Monti, Letta, RenZi), Tribunal Constitucional Ministerio de Desarrollo Económico (MISE) Ministerio de Medio Ambiente Regions Emilia-Romagna, Marche, Toscana, Umbría, Abruzos, Lazio, Molise, Campania, Puglia, Basilicata Comunes y provincias que incluyen Taranto, Bari, Foggia, Campobasso, Chieti, L'Aquila, Rieti, Perugia, Arezzo, Bolonia, Forlì-Cesena."
pungarayacu-oil-block-ecuador,"Environment Ministry, Petroecuador and Petroproduccion"
golfech-nuclear-power-plant-france,"French State
French Alternative Energies and Atomic Energy Commission (CEA) 
French Ministry for Quality of Life"
angangueo-community-vs-grupo-mexico-michoacan,México's government/ Secretaría de medio ambiente y recursos naturales (SEMARNAT)/              Secretaría de Economía (SE)/ Procuraduría Federal de Protección al Ambiente (PROFEPA).  Secondary actors: Servicio Geológico Mexicano.
remunicipalisation-and-anti-privatization-movement-in-barcelona1,"Àrea Metropolitana de Barcelona (AMB) (https://www.amb.cat/en/web/ecologia/aigua)
Barcelona En Comu (https://barcelonaencomu.cat/es)"
the-retreat-from-monsanto-bt-cotton-burkina-faso,"Government of Burkina Faso
Ministère de l'Environnnement et du Cadre de Vie
INERA, Institute of Environment and Agricultural Research"
gungormez-and-bahcekoy-quartzite-mine,"Ministry of Environment and Urbanisation, 
Tekirdag Provincial Directorate of Environment and Urban Planning"
thervoy-sez-tn-india,"Government of Tamil Nadu, Ministry of Environment and Forest, Government of India, Tamil Nadu Pollution Control Board, National Human Rights Commission
"
dakota-access-pipeline,U.S. Department of the Army; U.S Government;  State of North Dakota;Department of Justice; Department of the Interior; Natural Resources Defense Council; American Petroleum Institute;The Army Corps of Engineers;
church-construction-in-the-savicas-park-croatia,The City of Zagreb
mangrove-forest-destroyed-by-shell-in-the-niger-delta-nigeria,Nigerian National Petroleum Corporation 
cochiti-dam-new-mexico,"Army Corps of Engineers, US Federal Government, State Government of New Mexico, Bureau of Land Affairs, Bureau of Indian Affairs, Cities of Santa Fe, Albuquerque, Bernalillo, and other affluent, predominantly non-Native American communities in close proximity"
marcopper-placer-dome-mining-disaster-marinduque-island-philippines,"Philippine dictator Ferdinand Marcos
Department of Environment and Natural Resources (DENR)
Provincial Government of Marinduque"
imperial-metals-mount-polley-mine,"British Columbia Ministry of Mines
Department of Fisheries and Oceans Canada"
oil-leak-in-mauritus-islands-is-threatenind-nature-and-local-peoples-health,"Ministry of the Environment, Ministry of Fishing, Government of Mauritus."
fainu-airport,"National government of the Maldives
Ministry of Tourism (Maldives)"
potosi-san-bartolome-estabilidad-geologica-del-cerro-rico-patrimonio-de-la-humanidad-bolivia,Gobierno del Departamento de Potosi
lex-covid-developments-poland,"Related to the 'Bemowo Forest' case:
- Ministerstwo Klimatu i Środowiska (Ministry of Climate and Environment)
- Generalna Dyrekcja Ochrony Środowiska (General Directorate for Environmental Protection)
- Regionalna Dyrekcja Ochrony Środowiska w Warszawie (Regional Directorate for Environmental Protection in Warsaw)
- Starostwo Powiatowe Warszawskie Zachodnie w Ożarowie Maozwieckim (West Warsaw Office County in Ożarów Mazowiecki)
- Urząd Gminy w Starych Babicach (Commune Office in Stare Babice)
- Dyrekcja Kampinoskiego Parku Narodowego (Directorate of the Kampinos National Park)
- Główny Inspektorat Nadzoru Budowlanego (Chief Inspectorate of Construction Supervision)"
land-grabbing-in-panama-by-navy-and-special-task-force-stf,"Department of Forest Conservation
Sri Lanka Tourism Development Authority (SLTDA)
Forest Department
Archaeological Department
Defence Ministry"
busanga-dam-on-lualaba-river-drc,"DRC Government (State level)
Ministry of Energy and Water Resources"
pescadores-de-sechura-contra-exploracion-petrolera-peru,"Dirección General de Asuntos Ambientales Energéticos del Ministerio de Energía y Minas, Ministerio de la Producción (PRODUCE), Ministerio del Ambiente (MINAM), Dirección Regional de Producción de Piura."
white-mesa-uranium-mill-utah-usa,Nuclear Regulatory Commission
desaguadero-oil-spill-transredes-s-a-bolivia,YPFB - Bolivia
petaquilla-panama,"MICI,
Gobierno Nacional de Panama, 
Defensoria del Pueblo, 
Autoridad Nacional del Ambiente"
fishmeal-factory-emissions-in-hout-bay-south-africa,"Department of Public Works
Department of Environmental Affairs
City of Cape Town"
hazardous-garbage-dumping-and-new-waste-to-energy-projects-in-colombo-sri-lanka,"Ministry of Megapolis and Western Development (MPWD)
Ministry of Environment and Natural Resources (MENR)
Colombo Municipal Council (CMC) 
Western Province Waste Management Authority (WPWMA)
Urban Development Authority (UDA)
Central Environmental Authority (CEA)
National Government"
shuangma-no-coal-mine-ningxia-china,"- Yanchi County Natural Resource Bureau
- Yinchuan Emergency Management Bureau
- Yinchuan Environmental Protection Bureau
- Lingwu Municipality Government
- Lingwu Land and Resources Bureau"
jakarta-indonesia-anti-privatization-of-water-supply-and-remunicipalisation-struggle,Government of Jakarta (Governor Anies Baswedan)
protest-for-ancient-water-management-zayandeh-roud-river-iran,
disputas-de-los-indigenas-del-alto-paragua-en-torno-a-la-mineria-ilegal-en-sus-territorios,"•	Gobernación del estado Bolívar. Gobernador Francisco Rangel Gómez
•	Ministerio de Interior, Justicia y Paz.
•	Fuerza Armada Nacional Bolivariana, los cuáles han impulsado varios planes para la erradicación de la minería ilegal en estos territorios: el Plan Piar, en 2003; que se transformó en la Misión Piar, en 2005; el Plan de Reconversión Minera, en 2006; el Plan Caura, de 2010, y por último la Comisión Presidencial para la Protección del Desarrollo y Promoción Integral de la Actividad Minera en la Región Guayana, creada en 2014
•	Ministerio de Pueblos Indígenas. Ministra Aloha Nuñez
•	Ministerios del Ambiente. Dirección estatal de Bolívar.
•	Alcaldía del municipio Angostura. Alcaldesa Yusleibys Ramírez
•	Diputado por la Causa R Américo De Grazia (oposición)"
illegal-iron-ore-mine-on-bangka-island-in-the-coral-triangle-sulawesi-indonesia,"Sudariyono, deputy minister for environmental compliance
Ministry of Energy and Mineral Resources
North Minahasa Regency
North Minahasa’s District Head, Sompie Singal
Special government commission was established to support the initiative to permit mining of small islands, led by former Minister for Fisheries, Rokhmin Dahuri
Komnas HAM, Indonesia’s National Commission on Human Rights"
agrochemical-pesticides-and-kidney-related-diseases-in-sri-lanka,"Registrar of Pesticides – Department of agriculture 
Ministry of Health
Central Environmental Authority
Commissioner General of Agrarian Development
Consumer Affairs Authority
World Health Organsation"
lowell-mining-company-in-shuar-territory-ecuador,The Ministry of Mines and Petroleum (now the Ministry of Non-Renewable Natural Resources).
ongi-river-movement-mongolia,"Mongolian Government,
Ministry of Environment and Tourism,
Mongolian Parliament."
pocem-hydropower-dam-albania,Ministry of Energy
brad-polymetallic-ores-including-gold,"National Agency for Mineral Resources (NAMR)
Ministry of Environment and Climate Change (MMSC) 
Agency Hunedoara (Hunedoara EPA)
Hunedoara County Council"
reppardfjord-nussir-case,"Norwegian Government
Norwegian Environmantal Agency 
Sámi Parliament"
urra-dam-on-the-sinu-river-colombia,"The Constitutional Court, The Ministry of Environment, The Minister of Mines, INDERENA"
lead-poisoning-caused-by-jiaozuo-oriental-gold-and-lead-co-ltd-henan-china,"- Provincial Environmental Protection Bureau of Henan
- the Government of Jiaozuo City
- the Government of Xiuwu County
- the Institute of Occupational Disease Prevention and Control of Henan Province
- the National Environmental Protection Administration (Ministry of Ecology and Environment of China)
- representatives of Mafang Village"
seeds-and-the-grey-areas-of-the-european-law-in-austria,
hindustan-unilever-thermometer-factory-kodaikanal-tamil-nadu-india,"Tamil Nadu Pollution Control Board (TNPCB)
Madras High Court
Department of Atomic Energy of Government of India"
embassador-bridge,"Ontario Ministry of Transportation, State of Michigan, Michigan Department of Transportation, Federal Highway Administration, Canadian government, Michigan Finance Authority, Transport Canada (who is responsible for transportation policies and programs. It promotes safe, secure, efficient and environmentally-responsible transportation. Transport Canada reports to Parliament and Canadians through the minister of Transport. It works with its portfolio partners, other government departments and jurisdictions, and industry to ensure that all parts of Canada's transportation system work well.)"
barbuda-ocean-club,
threats-facing-the-tana-river-primate-reserve-kenya,"Kenya Wildlife Service, Kenya Forest Service, National Environment Management Authority"
uzere-community-protest-against-shell-nigeria,Nigeria National Petroleum Corporation.
lucha-binacional-contra-la-cadena-de-proyectos-hidroelectricos-en-el-rio-usumacinta-mexico-y-guatemala,"Gobierno Federal de México y Gobierno de la República de Guatemala
Secretaría de Energía de México (SENER)
Comisión Nacional del Agua de México (CONAGUA)
Secretaría de Medioambiente y Recursos Naturales (SEMARNAT)
Instituto Nacional de Antropología e Historia (INAH)
Comisión Nacional de Energía Eléctrica de Guatemala (CNEE)"
thermal-power-plants-in-sapeacu-brazil,"Ministerio de Minas e Energia , Conselho Estadual do Meio Ambiente , Ministerio Publico Estadual , Ministerio Publico Federal , Instituto de Meio Ambiente do Estado da Bahia , Agencia Nacional de Energia Eletrica , Superintendencia do Desenvolvimento do Nordeste , Tribunal Regional Federal da Primeira Regiao"
overfishing-and-illegal-fishing-in-casamance-senegal,The Ministry of Marine Economy
contaminacion-por-asbesto-cemento-colombia,"Ministerio de Ambiente y Desarrollo Sostenible, Procuraduria General de la Nación, Congreso de la República, Comisión Nacional de Salud Ocupacional del Sector del Asbesto, Super Intendencia de Industria y Comercio"
proyecto-minero-el-transito-honduras,"Ministerio Público  (MP), Instituto Hondureño de Geología y Minas, (INHGEOMIN), Gobierno local de Nacaome."
violations-of-the-cano-tiburones-reserve,N/a
himalayan-ski-village,"Government of Himachal Pradesh, Ministry of Environment, Forest and Climate Change (MoEFCC), Expert Appraisal Committee, Himachal High Court, District Administration"
ogms,"Ministry of Health and Indigenous Medicine 
Consumer Affairs Authority 
Government of Sri Lanka"
redd-conflicts-in-oddar-meanchey-community-forest-cambodia,"Ministry of Agriculture, Fisheries and Forestry (MAFF); Cambodian military;  Technical Working Group on Forestry and Environment"
nuclear-waste-storage-in-scanzano-jonico,"Italian Government (S. Berlusconi as President of the Council of Ministries), Ministry of Economy and Finance, Ministry of the Environment, Municipality of Scanzano Jonico, Basilicata Region, ISPRA (Superior Institute for Environmental Protection and Research), ENEA (Energy and Environment National Body)"
mobilizing-against-environmental-injustices-post-katrina-new-orleans-east-louisiana-us,"-U.S. Department of Housing and Urban Development
-New Orleans Mayor's Office
-New Orleans City Council
-Environmental Protection Agency"
shukruti-georgian-manganese,"Government of Georgia, 
Public Defender's office of Georgia, 
US Embassy of Georgia
Levan Samkharauli National Forensics Bureau
Ministry of Internal Affairs"
expo-2015-italy,"Municipality of Milan, Province of Milan, Lombardy Region, Italian government"
biodiversity-conservation-in-the-sacred-tsum-valley-in-gorkha-district-nepal,"(a) Nation Trust for Nature Conservation (NTNC)
(b) Local Government Institutions 
(c) Department of National Park and Wildlife Conservation (DNPWC)
(d) Village Development Committee
(e) District Development Committee"
crisis-del-agua-en-la-zona-metropolitana-de-monterrey-mexico,"Gobierno de México, a través de la Comisión Nacional del Agua
Gobierno del Estado de Nuevo León, a través de la Fuerza Civil.
Gobierno Municipal de Monterrey, a través de la Dirección General de Servicios de Agua y Drenaje.
Gobierno Municipal de Montemorelos."
